sid,from,to,date
940,123,542,2005-09-13
942,287,272,2002-09-05
942,272,542,2003-03-11
942,542,155,2004-09-07
942,155,542,2004-09-23
949,429,630,2005-06-01
949,630,641,2008-09-04
954,207,245,2004-04-20
954,245,207,2005-09-28
954,207,245,2006-03-02
954,245,575,2006-09-07
954,575,25,2008-01-10
954,25,47,2011-09-22
956,69,343,2002-11-22
958,541,666,2003-09-08
958,666,208,2005-09-12
958,208,63,2006-10-23
958,63,681,2007-09-10
960,503,335,2002-12-03
960,335,630,2005-01-06
960,630,669,2008-01-09
962,44,277,2002-09-05
962,277,245,2002-12-18
962,245,72,2003-09-08
962,72,500,2004-09-20
962,500,44,2006-01-19
962,44,277,2006-09-07
964,630,21,2008-09-04
964,21,641,2008-09-29
968,313,33,2005-09-06
970,630,152,2005-09-06
970,152,97,2008-09-04
974,425,292,2004-09-07
980,217,611,2009-01-13
980,611,441,2009-09-08
983,540,202,2010-09-07
987,69,162,2010-09-07
987,162,572,2011-11-01
998,267,406,2007-09-10
1000,59,259,2011-09-06
1014,652,81,2010-09-07
1026,357,620,2002-09-05
1026,620,194,2006-09-07
1028,632,441,2003-01-22
1028,441,593,2003-03-26
1028,593,540,2003-09-08
1028,540,357,2007-09-10
1028,357,560,2008-02-28
1028,560,540,2009-09-10
1029,595,540,2004-10-01
1029,540,281,2008-09-18
1029,281,540,2008-10-14
1029,540,155,2010-09-07
1035,602,152,2001-11-14
1035,152,230,2003-09-11
1035,230,3,2004-09-07
1048,61,46,2004-09-07
1048,46,204,2005-09-06
1048,204,139,2007-09-10
1048,139,162,2009-09-08
1063,204,139,2009-09-08
1066,362,283,2006-09-14
1066,283,245,2007-09-10
1067,554,357,2006-01-10
1067,357,668,2006-09-07
1068,118,604,2004-10-29
1068,604,47,2008-05-13
1069,563,398,2003-09-08
1069,398,574,2006-09-07
1078,503,162,2006-09-07
1079,188,574,2002-09-05
1081,539,372,2011-09-06
1082,490,574,2002-09-05
1083,180,637,2002-03-12
1083,637,162,2002-09-05
1084,188,391,2001-10-24
1084,391,162,2004-09-07
1085,437,196,2006-09-07
1089,305,542,2003-09-08
1090,3,452,2005-09-06
1090,452,680,2007-11-20
1097,157,565,2006-09-07
1097,565,157,2006-10-10
1097,157,628,2007-09-10
1098,83,649,2003-09-08
1098,649,425,2006-09-07
1114,391,21,2005-09-06
1115,668,620,2002-09-05
1116,358,21,2005-09-06
1123,188,609,2003-10-09
1123,609,505,2004-11-02
1123,505,21,2006-09-07
1124,162,21,2003-09-22
1135,483,541,2008-09-04
1135,541,224,2008-09-23
1137,204,483,2004-02-23
1137,483,186,2006-01-04
1137,186,667,2006-03-07
1137,667,549,2008-09-04
1137,549,146,2009-09-08
1137,146,63,2010-09-07
1137,63,139,2011-01-03
1139,548,194,2002-09-06
1143,640,78,2007-09-10
1146,585,483,2003-09-08
1146,483,541,2004-09-07
1146,541,83,2005-01-10
1146,83,551,2006-12-12
1146,551,123,2009-02-03
1146,123,682,2011-10-13
1147,628,666,2002-09-05
1147,666,527,2003-09-08
1147,527,551,2004-09-21
1148,510,382,2003-09-08
1149,398,248,2008-03-25
1149,248,219,2008-09-04
1149,219,67,2010-09-07
1150,637,250,2008-12-08
1151,63,382,2004-09-07
1153,0,503,2005-09-13
1154,196,188,2007-09-10
1154,188,194,2010-09-07
1154,194,81,2011-09-06
1155,217,162,2006-09-07
1155,162,659,2006-09-28
1155,659,162,2007-01-16
1155,162,509,2009-01-28
1155,509,25,2009-09-08
1156,483,541,2004-09-07
1157,483,541,2005-09-06
1157,541,813,2009-11-20
1157,813,666,2010-09-07
1159,437,553,2002-04-05
1159,553,203,2002-09-05
1159,203,503,2005-09-06
1161,180,162,2005-09-06
1165,534,67,2001-12-14
1165,67,534,2005-02-17
1166,534,116,2001-10-24
1166,116,534,2002-09-05
1172,148,598,2006-09-07
1172,598,431,2008-09-04
1173,406,655,2004-09-07
1174,175,655,2002-09-05
1175,2,655,2005-09-06
1178,3,655,2002-09-05
1181,257,655,2002-09-05
1182,101,381,2007-09-18
1185,185,580,2001-10-04
1185,580,185,2002-09-05
1185,185,48,2004-09-07
1185,48,123,2007-09-10
1188,625,456,2007-10-10
1188,456,575,2009-12-17
1193,103,518,2009-09-08
1193,518,593,2010-11-15
1194,446,534,2002-09-05
1194,534,97,2005-09-06
1201,372,414,2010-09-07
1228,628,666,2002-09-05
1228,666,527,2003-09-08
1228,527,22,2004-09-07
1229,67,675,2007-09-10
1230,323,37,2007-09-10
1232,123,682,2007-09-21
1233,219,67,2005-09-06
1234,597,541,2002-10-16
1234,541,63,2006-09-07
1234,63,123,2007-03-16
1236,628,666,2004-09-07
1237,67,535,2003-09-08
1237,535,221,2004-02-04
1237,221,67,2005-04-11
1238,248,67,2004-09-07
1241,525,510,2002-09-05
1241,510,666,2005-09-15
1241,666,674,2007-09-10
1242,392,271,2005-09-06
1244,393,525,2002-09-09
1244,525,666,2004-09-07
1245,497,12,2004-09-07
1245,12,123,2006-09-13
1250,157,597,2002-09-05
1250,597,436,2002-10-09
1250,436,604,2002-11-08
1250,604,503,2005-02-01
1250,503,172,2005-02-18
1250,172,509,2005-05-24
1251,496,81,2004-09-07
1253,668,620,2003-09-08
1253,620,509,2004-05-18
1253,509,180,2005-02-17
1253,180,162,2007-09-10
1254,358,81,2002-09-05
1256,21,509,2003-04-01
1257,316,563,2002-09-05
1257,563,669,2002-10-31
1257,669,437,2002-12-06
1257,437,366,2004-02-27
1257,366,537,2006-09-08
1260,619,641,2005-11-29
1260,641,619,2005-12-14
1260,619,641,2006-09-07
1262,24,496,2002-09-05
1262,496,641,2005-09-06
1266,605,24,2010-09-07
1267,172,641,2004-09-07
1275,436,256,2009-09-08
1278,65,81,2011-09-06
1280,0,45,2006-09-07
1282,7,180,2004-09-07
1282,180,162,2008-09-04
1282,162,67,2008-09-05
1282,67,47,2009-09-08
1282,47,793,2009-09-23
1284,574,509,2002-02-01
1284,509,21,2002-09-05
1284,21,509,2003-04-10
1285,207,152,2004-09-07
1285,152,81,2006-09-07
1285,81,277,2009-09-14
1287,98,3,2007-09-19
1287,3,337,2008-09-04
1287,337,3,2009-05-26
1290,470,101,2007-09-10
1290,101,28,2008-09-04
1290,28,101,2011-09-06
1291,243,41,2008-03-25
1291,41,2,2009-05-18
1291,2,303,2011-09-06
1293,477,173,2004-09-07
1294,353,448,2007-12-04
1294,448,238,2008-04-04
1294,238,199,2010-09-07
1294,199,296,2011-03-23
1298,658,520,2006-09-07
1298,520,333,2008-09-04
1301,94,660,2003-09-08
1301,660,173,2004-09-07
1303,162,534,2002-04-30
1307,221,21,2001-10-24
1307,21,534,2002-10-01
1311,466,165,2009-09-08
1312,437,533,2002-10-02
1312,533,175,2004-11-03
1312,175,466,2005-10-18
1312,466,175,2007-09-10
1312,175,405,2008-09-04
1312,405,358,2009-09-08
1312,358,175,2009-12-14
1312,175,358,2010-04-28
1312,358,32,2011-09-06
1312,32,205,2012-02-16
1315,359,668,2007-11-02
1315,668,357,2009-09-08
1319,437,175,2003-09-08
1319,175,466,2006-09-07
1322,625,466,2002-09-05
1322,466,205,2007-09-10
1322,205,825,2010-09-07
1322,825,205,2010-10-21
1323,550,466,2003-09-15
1324,625,281,2003-09-08
1324,281,520,2006-09-07
1324,520,624,2007-09-10
1324,624,155,2009-05-08
1324,155,680,2011-03-22
1329,353,391,2010-09-07
1333,131,641,2003-09-08
1333,641,21,2004-02-12
1336,131,205,2003-09-08
1336,205,21,2006-01-18
1345,423,60,2001-10-04
1345,60,233,2002-11-19
1345,233,165,2003-09-08
1345,165,300,2006-11-20
1345,300,637,2007-06-11
1345,637,391,2007-12-05
1345,391,21,2009-09-08
1345,21,666,2009-12-18
1346,425,382,2003-09-08
1347,0,593,2004-09-07
1347,593,602,2009-09-21
1347,602,465,2011-09-06
1348,60,295,2004-01-06
1348,295,602,2006-09-07
1348,602,295,2006-09-12
1348,295,521,2011-09-06
1349,649,532,2003-01-13
1349,532,666,2004-09-07
1349,666,272,2005-04-15
1349,272,551,2006-03-30
1350,637,503,2011-12-07
1351,593,155,2010-09-07
1352,57,398,2004-09-07
1352,398,262,2008-09-04
1354,396,295,2006-01-04
1363,7,230,2003-09-08
1363,230,296,2007-09-10
1363,296,391,2008-09-04
1363,391,21,2010-09-07
1367,547,256,2011-09-06
1368,229,303,2009-09-08
1374,550,663,2004-09-07
1377,255,332,2010-05-25
1380,669,663,2007-02-13
1380,663,12,2008-09-04
1384,468,431,2002-09-05
1384,431,408,2006-09-13
1385,465,208,2006-09-07
1393,300,69,2007-09-25
1397,250,437,2005-09-06
1397,437,490,2009-09-08
1399,583,437,2005-09-06
1399,437,490,2010-09-07
1400,583,437,2005-09-06
1406,556,324,2003-09-08
1406,324,236,2007-04-09
1406,236,655,2011-09-06
1407,300,641,2008-04-25
1419,532,509,2003-10-09
1419,509,25,2003-11-06
1419,25,500,2004-09-07
1419,500,408,2007-09-10
1419,408,835,2011-02-08
1423,0,165,2004-09-07
1424,652,580,2005-09-06
1424,580,565,2006-09-07
1426,617,175,2005-11-28
1426,175,617,2007-09-10
1429,522,490,2003-01-29
1431,666,365,2003-09-08
1436,149,520,2004-11-05
1436,520,490,2005-10-21
1436,490,208,2007-09-10
1436,208,179,2009-10-02
1437,437,490,2004-09-07
1437,490,32,2008-09-04
1439,620,272,2002-09-05
1439,272,534,2004-09-07
1439,534,47,2006-11-06
1439,47,287,2006-12-01
1439,287,559,2006-12-14
1441,338,185,2011-09-06
1444,437,490,2006-09-07
1445,525,63,2003-09-08
1447,549,63,2004-09-07
1447,63,47,2008-03-03
1447,47,681,2008-03-24
1448,575,422,2005-04-01
1448,422,598,2006-01-27
1448,598,440,2006-09-07
1448,440,63,2007-03-27
1450,299,549,2003-09-08
1450,549,63,2006-09-07
1452,45,580,2001-11-27
1452,580,281,2002-09-05
1452,281,197,2005-05-16
1452,197,63,2006-09-07
1452,63,47,2010-11-03
1454,518,393,2003-09-08
1454,393,604,2003-09-25
1454,604,393,2004-09-22
1454,393,663,2005-01-14
1454,663,116,2005-09-06
1454,116,277,2005-11-30
1454,277,211,2007-09-10
1454,211,179,2007-09-20
1454,179,277,2008-09-04
1457,282,146,2006-09-07
1459,139,408,2002-02-08
1459,408,63,2005-09-06
1460,201,343,2003-09-08
1460,343,67,2007-09-10
