lat,lon,year,students,attainment
40.017362,-75.08769,2007,4658,-48.767933
40.023611,-75.04966,2007,961,0.898048
40.026626,-75.22311,2007,181,38.141677
40.033944,-75.12118,2007,6387,-22.143198
40.034111,-75.17203,2007,2057,-21.303902
40.035778,-75.1447,2007,2400,14.497978
40.037711,-75.06658,2007,2833,12.110147
40.038944,-75.22104,2007,1361,21.703881
40.041111,-75.02644,2007,1202,9.262210
40.053511,-75.18858,2007,1051,11.392166
40.055411,-75.13793,2007,1133,9.719106
40.055861,-75.15654,2007,1710,-10.874557
40.057661,-75.08018,2007,3373,1.691774
40.059611,-75.04837,2007,1948,13.904955
40.064257,-75.00155,2007,635,5.688711
40.07226,-75.17106,2007,904,17.543168
40.07236,-75.20772,2007,327,34.764265
40.09146,-74.97719,2007,1367,20.921249
40.09261,-75.04118,2007,2117,52.372841
40.117413,-75.0154,2007,881,13.244914
39.898985,-75.23221,2008,262,-19.496768
39.919812,-75.15803,2008,799,-34.346600
39.922262,-75.18259,2008,238,-40.618375
39.922612,-75.23453,2008,405,-52.654969
39.936562,-75.15409,2008,254,71.519465
39.938512,-75.18067,2008,85,-68.844894
39.944162,-75.22718,2008,218,-55.759513
39.951062,-75.14589,2008,97,48.525782
39.952112,-75.15853,2008,3,-117.569020
39.952162,-75.17406,2008,87,89.767905
39.961612,-75.19957,2008,527,-57.582587
39.961812,-75.23003,2008,604,-58.658828
39.964012,-75.14764,2008,289,68.239957
39.968262,-75.17222,2008,248,32.283246
39.975929,-75.25256,2008,111,-47.936108
39.977662,-75.14336,2008,279,-45.243202
39.978162,-75.12565,2008,437,-29.148736
39.981062,-75.1745,2008,643,-47.093302
39.981112,-75.22486,2008,380,-63.958416
39.991712,-75.11116,2008,697,-48.669876
39.992862,-75.14054,2008,220,-67.868423
39.995412,-75.16977,2008,602,-45.118450
40.011562,-75.1839,2008,108,-7.334240
40.012212,-75.14503,2008,1239,-67.940826
40.017362,-75.08769,2008,1159,-62.423379
40.023611,-75.04966,2008,57,-33.637560
40.026626,-75.22311,2008,1,136.157350
40.033944,-75.12118,2008,947,-52.262073
40.034111,-75.17203,2008,420,-50.885121
40.035778,-75.1447,2008,770,74.479462
40.037711,-75.06658,2008,174,-42.070154
40.038944,-75.22104,2008,457,-3.228245
