lat,lon,instid,name,year,attainment,students
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2003,-73.448223,331
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2004,-93.052618,8
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2006,-57.516926,401
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2007,-45.298952,387
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2008,-73.865159,35
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2009,-41.633908,297
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2010,-50.135862,318
39.922262,-75.18259,541,"VARE, EDWIN H. MIDDLE SCHOOL - 2120",2011,-43.665780,20
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2006,9.607612,88
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2007,-3.709034,158
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2008,-43.377982,9
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2009,-2.081160,244
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2010,25.487016,352
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2011,34.049236,410
39.922262,-75.18259,585,"MCDANIEL, DELAPLAINE SCHOOL - 2370",2012,-40.959236,10
39.922262,-75.18259,777,"AUDENRIED, CHARLES Y. SR. HIGH - 2800",2008,-67.319271,145
39.922262,-75.18259,777,"AUDENRIED, CHARLES Y. SR. HIGH - 2800",2009,-50.281986,168
39.922262,-75.18259,777,"AUDENRIED, CHARLES Y. SR. HIGH - 2800",2010,-40.792976,82
39.922262,-75.18259,777,"AUDENRIED, CHARLES Y. SR. HIGH - 2800",2011,-47.023533,9
39.922262,-75.18259,840,ABRAXAS @ KING OF PEACE - 8750,2010,-6.293434,23
39.922262,-75.18259,840,ABRAXAS @ KING OF PEACE - 8750,2011,-12.925966,18
39.922612,-75.23453,129,SOUTHWEST ACCELERATED ACADEMY - 8520,2007,-112.549026,8
39.922612,-75.23453,129,SOUTHWEST ACCELERATED ACADEMY - 8520,2008,-136.098871,4
39.922612,-75.23453,129,SOUTHWEST ACCELERATED ACADEMY - 8520,2009,-89.458300,4
39.922612,-75.23453,129,SOUTHWEST ACCELERATED ACADEMY - 8520,2010,-131.959650,1
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2006,25.047817,152
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2007,-30.265223,281
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2008,-36.117969,22
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2009,11.104058,137
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2010,-19.322271,145
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2011,-1.957999,128
39.922612,-75.23453,157,"PATTERSON, JOHN M. SCHOOL - 1400",2012,-98.966950,2
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2002,-120.638161,563
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2003,-85.412330,548
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2004,-94.923750,9
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2006,-96.459895,500
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2007,-16.181239,457
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2008,-65.935431,38
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2009,-20.590740,356
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2010,-22.203895,412
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2011,-42.330563,321
39.922612,-75.23453,281,TILDEN MIDDLE SCHOOL - 1130,2012,-49.427320,12
39.922612,-75.23453,565,"CATHARINE, JOSEPH SCHOOL - 1250",2006,5.583234,206
39.922612,-75.23453,565,"CATHARINE, JOSEPH SCHOOL - 1250",2007,-3.070119,273
39.922612,-75.23453,565,"CATHARINE, JOSEPH SCHOOL - 1250",2008,-82.963883,12
39.922612,-75.23453,565,"CATHARINE, JOSEPH SCHOOL - 1250",2009,23.499651,150
